物理索引,Ail2+0x20 ID,名称,槽,大ID,数值,说明
271,271,還神散,0,43,100,對於昏倒的同伴使用，能夠使他馬上清醒。
272,272,紫凝甘露,0,43,100,從天山靈泉所取的泉水，除了讓昏迷者清醒，也能補充一些體力。
273,273,鑄命封石,0,43,100,以神力將生命的基本力量封入這顆石頭中，緊急時可使瀕臨死亡的人重新獲得生命。
281,281,化毒散,0,40,100,以多種解毒藥材煉製而成的解毒藥，對於尋常毒傷頗具療效。
281,281,化毒散,1,40,0,以多種解毒藥材煉製而成的解毒藥，對於尋常毒傷頗具療效。
281,281,化毒散,2,40,0,以多種解毒藥材煉製而成的解毒藥，對於尋常毒傷頗具療效。
281,281,化毒散,3,40,0,以多種解毒藥材煉製而成的解毒藥，對於尋常毒傷頗具療效。
281,281,化毒散,4,40,0,以多種解毒藥材煉製而成的解毒藥，對於尋常毒傷頗具療效。
282,282,通脈丸,0,41,100,能夠通筋活血、調氣順脈的丹藥，常用於治療軟癱麻病。
282,282,通脈丸,1,41,0,能夠通筋活血、調氣順脈的丹藥，常用於治療軟癱麻病。
282,282,通脈丸,2,41,0,能夠通筋活血、調氣順脈的丹藥，常用於治療軟癱麻病。
282,282,通脈丸,3,41,0,能夠通筋活血、調氣順脈的丹藥，常用於治療軟癱麻病。
282,282,通脈丸,4,41,0,能夠通筋活血、調氣順脈的丹藥，常用於治療軟癱麻病。
283,283,冰蟾砂,0,40,100,冰蟾毒砂雖原是至毒，但加以處理後亦能成藥解毒傷癱麻，極是靈驗。
283,283,冰蟾砂,1,41,100,冰蟾毒砂雖原是至毒，但加以處理後亦能成藥解毒傷癱麻，極是靈驗。
283,283,冰蟾砂,2,50,100,冰蟾毒砂雖原是至毒，但加以處理後亦能成藥解毒傷癱麻，極是靈驗。
284,284,綺羅天香,0,42,100,具有強烈的氣味，能聚四周精魂靈氣，破除封咒的禁制之力。
285,285,血仙邪釀,0,67,100,以人血調製而成的深紅色藥酒，是唯一能解救逆闕之害的藥物。
286,286,蝕血神丹,0,51,100,以逆命邪方煉製的異藥，服用後可祛解所有毒麻血倀等不良狀態，但亦會藥力反噬而無法戰鬥。
301,301,八絡血參,0,59,100,長白山中最珍罕的參種，服食後能壯元強身，使體力驟增。
302,302,冰荷仙實,0,60,100,極北冰海中生長的冰蓮之實，食之能增人內蘊靈華，術力大進。
303,303,熊王金膽,0,54,100,北地巨熊亦稱熊王，其膽囊與百藥浸製後服食，可使人膂力大增。
304,304,靈泉玉露,0,58,100,天界珍釀之一，以多種仙果釀成，能令人飲後得憑仙力、靈智大進。
305,305,迅神五書,0,56,100,載有奔行挪移法門的武籍，令人讀後頓悟奔行之理，從而提升己身迅捷。
306,306,鬼神天釀,0,55,100,據說是天界鬼神飲用的美酒，不獨味香醇厚，亦具強筋健體之效。
307,307,玄機道卷,0,57,100,寫有玄門天機之理的捲軸，令人讀後能乘應機運之變而趨吉避禍。
368,368,地返遁符,0,61,100,封入移遁玄術的法符，可乘地脈流向飛昇騰挪，瞬間離開幽淵險所，效同「移型化法」。 
369,369,鎮辟玄香,0,63,100,以七種辟邪藥物煉製的神奇香粉，可使周遭邪氣難以近身，從而降低遇敵的機會。
370,370,鬼魅玄香,0,64,100,以七種邪物煉製的妖異香粉，可使周遭邪氣大盛，從而大幅提升遇敵的機會。
