类型,Var1状态,场景,下一目标场景,首段,当前记录,处理阶段,说明
主线首段Route目标对象未静态绑定,2,mp0104a,mp0101,mp0104a --Event12--> mp0101,"Event12  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,5,mp0104a,mp0101,mp0104a --Event12--> mp0101,"Event12  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,6,mp0101,mp0212,mp0101 --Event12--> mp3001,"Event12  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,7,mp0212,mp0207,mp0212 --Event14--> mp0207,"Event14  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,20,mp0504,mp3001,mp0504 --Event12--> mp0501,"Event12  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,22,mp3001,mp0601-1,mp3001 --Event5--> mp0601-1,"Event5  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,24,mp0601-1,mp0604,mp0601-1 --Event14--> mp0605,"Event14  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,26,mp0604,mp0607a,mp0604 --Event12--> mp0605,"Event12  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,30,mp0402,mp3001,mp0402 --Event15--> mp0401,"Event15  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
主线首段Route目标对象未静态绑定,32,mp0101,mp0705,mp0101 --Event12--> mp3001,"Event12  @(,)",Marker修复阶段,Scene/Event/Route语义已闭合，但该跳转Event没有直接SCI EA/EB对象绑定；需用动态Event绑定、触发区或运行时捕获补坐标。
