quest_id,category,title,primary,tracked_default,missable,ending_relevant,tags,discover_mode,offer_when,active_when,completed_when,failed_when,expired_when,authoritative_state,formalization_status,evidence,notes
side_colored_marble,Side,彩石弹珠,0,1,是,是,timed|missable|ending_relevant|important,offer_target_current_scene,var[505] == 0 && var[1009] == 1 && var[1010] == 0,var[505] == 1 || var[505] == 2,var[505] == 3,false,var[505] == 254,Var505；临时Var4501；在场Var1008/1009/1010；Item451,A,A,核心状态Var505；首次离开河州未完成会254。
side_sheepskin_scroll,Side,羊皮封卷,0,1,是（首次兰州窗口）,间接（圣枪链前置）,timed|missable|longinus_prerequisite,offer_target_current_scene,var[25] == 0 && var[1227] == 1,false,var[25] >= 1,false,var[25] == 0 && var[1] >= 7 && var[1227] == 0,Var25；Item423/460,A,A,独立任务只负责“买到羊皮封卷”；之后交由Longinus长链，避免重复追踪同一阶段。
side_rescue_aji,Side,营救阿吉,0,1,是,是（血灵神珠前置）,timed|missable|ending_relevant|important,offer_target_current_scene,var[504] == 0 && var[1072] == 1,var[504] == 1,var[504] == 2,false,var[504] == 254,Var504；Var1013；Battle101,A,A,四小孩是可选线索；真正硬门槛是Var504。
side_pansha_switch,Side,磐沙堡地牢拉环,0,1,剧情阶段内,否,story_window|puzzle,when_active,var[1120] == 1,var[1120] == 1,var[1121] == 255,false,false,Var1120/1121,A,A,Var1120使密道开关出现；拉动后Var1121=255。
side_blood_spirit_orb,Side,血灵神珠,0,1,是,是,timed|missable|ending_relevant|important,offer_target_current_scene,var[667] == 0 && var[1013] == 1 && var[505] == 3 && var[1] > 30,var[667] == 1 || var[667] == 2,var[667] == 3 && (item[426] > 0 || var[660] == 1),var[667] == 3 && item[426] == 0 && var[660] == 0,var[667] == 254 || var[667] == 255,Var667；Var504/1013；Var505；Item451/426；Battle182,A,A,正确分支的Item426后续会被雅布斯消耗，因此完成判定必须允许Var660=1，不能只看当前库存。
side_yinchuan_princess,Side,银川公主,0,1,是,相关素材/路线,timed|missable|ending_related,offer_target_current_scene,(var[1] == 35 || var[1] == 36) && var[4508] == 1 && var[515] != 2 && var[515] != 3 && var[515] != 254,var[4510] == 1 || var[515] == 2,var[515] == 3,false,var[515] == 254,Var515；临时Var4510；Battle120/121,A,A,补回v0.4遗漏的第一次偷听Event25；第二次Event26才写Var515=2。
side_sleepy_maid,Side,贪睡侍女,0,1,剧情窗口,是（紫兽魂石材料）,timed|missable|ending_relevant_material,offer_target_current_scene,var[1233] == 1 && var[1212] == 0,var[1212] == 1 && var[1209] == 0,var[1209] == 1,false,false,Var1212；Item221等,B,A,正确回答后Var1212=1；藏宝取完写Var1209=1。错误回答会让侍女消失，但目前没有独立持久失败哨兵可与“尚未出现”无歧义区分。
side_red_beast,Side,赤兽魂石,0,1,是,是（七色璎珞材料链）,timed|missable|ending_relevant_material,offer_target_current_scene,var[20] == 0 && var[30] == 0 && var[1] > 41 && var[1] < 63,var[20] >= 1 && var[20] <= 5,var[20] == 6,var[20] == 254 || var[20] == 255,false,Var20；Item429；Item219,A-,A-,Event15到SET Var20=1的控制流必要条件已恢复；Var20=255有明确主线失效写入。
side_gaohuangjun_1,Side,初遇高皇君／黑铁钥匙,0,1,是,是（辉月魂石前置）,timed|missable|ending_relevant_material,offer_target_current_scene,var[518] == 0 && var[3002] == 1,var[518] == 1,((var[518] >= 2 && var[518] < 254) || var[518] == 255),false,false,Var518,A-,A,Var518=254写入点经CFG复核为静态不可达；Var518=255只可能发生在第三遇后，因此不撤销第一遇已完成历史。
side_gaohuangjun_2,Side,二遇高皇君,0,1,阶段窗口,是,timed|ending_relevant_material,offer_target_current_scene,var[518] == 2 && var[3084] == 1,var[518] == 2,((var[518] >= 3 && var[518] < 254) || var[518] == 255),false,false,Var518=3,A,A,Var518=255表示第三遇后的后续失败，按程序路径可证明第二遇已经完成，因此第二遇保持Completed。
side_gaohuangjun_3,Side,三遇高皇君／营救李元昊,0,1,是,是（七色璎珞材料）,timed|missable|ending_relevant_material,offer_target_current_scene,var[518] == 3 && var[3090] == 1,var[518] == 4 || var[518] == 5,var[518] == 6,var[518] == 255,false,Var518=4→5→6；Item229,A,A,第三次相遇→救李元昊→后续世界地图阶段。
side_yabusi,Side,结识雅布斯,0,1,否/长链,是,ending_relevant|long_chain,offer_target_current_scene,var[660] == 0 && var[1217] == 1 && item[426] > 0,false,var[660] == 1,false,false,Var660；Item426/222/459,A,A,消耗血灵神珠后取得辟邪紫金、炼金初要并写Var660=1。
side_herb_manual,Side,磐沙堡四层／百草药典,0,1,剧情窗口,否,story_window,offer_target_current_scene,var[652] == 0 && var[1229] == 1,var[652] == 1 || (var[652] == 2 && var[1230] == 0),var[652] == 2 && var[1230] == 1,false,false,Var652；Item458,A,A,整体再验证修正：返还百草药典并不会SET Var652=3；真正完成证据是Var652仍为2，同时女子旧对象Var1229=0、后继girl对象Var1230=1。
side_purple_beast,Side,紫兽魂石,0,1,是,是,timed|ending_relevant|craft,offer_target_current_scene,var[21] == 0 && var[1181] == 1 && var[1157] < 1,(var[21] >= 1 && var[21] <= 3) || (var[21] >= 4 && item[434] == 0),item[434] > 0,false,false,Var21；Item457/433/434/221,A-,A,Var21=4只代表获得弱紫兽魂石；最终完成以炼化出Item434为准。
side_white_beast,Side,白兽魂石,0,1,阶段窗口,是,story_window|ending_relevant,offer_target_current_scene,var[669] == 0 && var[1219] == 1,var[669] >= 1 && var[669] <= 4,var[669] == 5,false,false,Var669；Item227/431/432,A,A,完整0→5状态机。
side_purple_fungus,Side,紫霜云芝,0,1,阶段窗口,是（朱兽魂石链材料）,story_window|ending_relevant_material,offer_target_current_scene,var[660] == 1 && item[459] > 0 && var[1226] != 0,var[1226] == 0 && var[1019] == 1,var[1226] == 0 && var[1019] == 0,false,false,Var660/1226/1019；Item309/459,A-,A,交炼金初要使Var1226=0；采集点由Var1019控制，采完清0。Var1019的置1来自场景/存档初始化而非已识别EVE直接SET，因此等级A-。
side_desert_caravan,Side,沙漠商队／朱兽魂石,0,1,是,是,timed|missable|ending_relevant,when_active,var[23] == 1,var[23] >= 1 && var[23] <= 4,var[23] == 5,var[23] == 255,false,Var23；Item309/437/273,A,A-,Var23=1由甘陀寺主剧情Event16开启；离开沙州时若仍为1会被置255。
side_fortune_teller,Side,算命先生／太乙占盘,0,1,阶段窗口,是（七色璎珞材料）,story_window|ending_relevant_material,offer_target_current_scene,var[651] == 0,var[651] == 1 || var[651] == 2,var[651] == 3,false,false,Var651；Item424/226,A,A,0→1接任务→2取得太乙占盘→3返还完成。
side_longinus,Side,失落圣枪 Longinus,0,1,长链,强相关,long_chain|ending_relevant|important,dependency_completed,var[25] >= 1 && var[25] < 11,var[25] >= 1 && var[25] < 11,var[25] == 11,false,false,Var25；Item193/77；神炎金灯等,A,A,"Var25=1→2由黑龙EVE闭合；Var25=2时玩家使用显字后的Item460羊皮封卷，Ail2+0x28=17，经RPG.exe 0x43AEC0写入世界动作码，0x40CE23分派至0x40CFE4，后者GET_VAR(25)并在<3时SET_VAR(25,3)；3→11均已有EVE直接证据。Longinus状态链已完整闭环。"
side_seven_color,Side,七色璎珞,0,1,取决于素材窗口,是,hidden|craft|ending_relevant|important,hidden_until_material,item[208] == 0 && (item[230] > 0 || item[226] > 0 || item[228] > 0 || item[229] > 0 || item[227] > 0 || item[225] > 0 || item[219] > 0 || item[231] > 0 || item[199] > 0 || item[202] > 0 || item[232] > 0 || item[233] > 0),item[208] == 0 && (item[230] > 0 || item[226] > 0 || item[228] > 0 || item[229] > 0 || item[227] > 0 || item[225] > 0 || item[219] > 0 || item[231] > 0 || item[199] > 0 || item[202] > 0 || item[232] > 0 || item[233] > 0),item[208] > 0,false,false,Item208及七种素材；RefineT,A,A,六步炼化链全部来自RefineT.ENC；Active条件与素材发现门槛一致，避免新游戏时逻辑上提前激活。
supp_black_beast,Side,严婆婆送信／黑兽魂石,0,1,阶段窗口,是,story_window|ending_relevant|craft,offer_target_current_scene,var[522] == 0 && var[3089] == 1 && var[24] == 0,(var[522] >= 1 && var[522] <= 5) && item[436] == 0,item[436] > 0,false,false,Var522；Item435/436/223；Battle141,A-,A,弱黑兽魂石在Var522=5获得；最终完成按Item436真黑兽魂石。
supp_lankavatara,Side,楞伽经／神炎金灯,0,1,阶段窗口,是（圣枪前置）,story_window|ending_relevant|longinus_prerequisite,offer_target_current_scene,var[562] == 0 && var[1148] == 1,var[562] == 1 || var[562] == 2,var[562] >= 3,false,false,Var562；Item422/382,A,A,Var562=3时已取得神炎金灯；后续4属于后续对白状态，不影响本任务完成。
