Var1状态,Objective,起点场景,目标场景,路径长度,逐场景路径,首个RouteMarker候选,必要条件摘要,安全性,状态
1,把鸡汤送到高老丈家。,mp0102c,mp0104a,3,mp0102c --Event13--> mp0102a | mp0102a --Event14--> mp0101 | mp0101 --Event15--> mp0104a,"Event13 下方往客廳 @(348,498)",Event13:true | Event14:var[1] >= 1 | Event15:var[1] < 32 && var[1] != 31 && var[1] != 3 && var[1] < 5,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
2,前往河州药铺，向李大夫询问能救治高老丈的金萼红花。,mp0104a,mp0101,1,mp0104a --Event12--> mp0101,"Event12  @(,)",Event12:var[1] < 32,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
3,回家向母亲说明情况，取得远行许可和盘缠。,mp0101,mp0102c,2,mp0101 --Event13--> mp0102a | mp0102a --Event12--> mp0102c,"Event13 夏侯儀家出入口 @(1222,409)",Event13:true | Event12:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
4,临行前去高老丈家辞行。,mp0102c,mp0104a,3,mp0102c --Event13--> mp0102a | mp0102a --Event14--> mp0101 | mp0101 --Event15--> mp0104a,"Event13 下方往客廳 @(348,498)",Event13:true | Event14:var[1] >= 1 | Event15:var[1] < 32 && var[1] != 31 && var[1] != 3 && var[1] < 5,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
5,从河州镇出入口离开，前往兰州寻找金萼红花。,mp0104a,mp0101,1,mp0104a --Event12--> mp0101,"Event12  @(,)",Event12:var[1] < 32,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
6,前往兰州城，设法通过封锁并寻找药铺。,mp0101,mp0212,2,mp0101 --Event12--> mp3001 | mp3001 --Event15--> mp0212,"Event12  @(,)",Event12:var[1] > 3 && var[1] != 4 && var[1] != 5 && var[1] >= 6 | Event15:var[1] < 10,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
7,进入兰州后前往药铺，继续打听金萼红花。,mp0212,mp0207,1,mp0212 --Event14--> mp0207,"Event14  @(,)",Event14:var[1] != 9,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
8,根据兰州获得的线索前往废屋调查。,mp0207,mp0212,1,mp0207 --Event12--> mp0212,"Event12 藥鋪老闆 @(333,341)",Event12:var[1] < 10 && var[539] != 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
9,与封铃笙一起摆脱追兵，继续寻找脱身路线。,mp0212,mp0304,5,mp0212 --Event17--> mp3001 | mp3001 --Event18--> mp0301a | mp0301a --Event13--> mp0302 | mp0302 --Event12--> mp0303 | mp0303 --Event13--> mp0304,"Event17 ne0201-07.SF2 @(170,1412)",Event17:true | Event18:true | Event13:true | Event12:var[542] != 0 | Event13:var[543] != 0,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
10,前往凉州，调查斋女与慕容璇玑失踪一事。,mp0304,mp3001,4,mp0304 --Event12--> mp0303 | mp0303 --Event12--> mp0302 | mp0302 --Event13--> mp0301a | mp0301a --Event12--> mp3001,"Event12 CHAIR_LEFT @(590,681)",Event12:true | Event12:true | Event13:var[1] >= 10 | Event12:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
11,在凉州寻找慕容筝，询问璇玑和斋女失踪的线索。,mp3001,mp0401,1,mp3001 --Event16--> mp0401,"Event16 自動導航往涼州 @(2876,1031)",Event16:var[1] != 20,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
12,继续在凉州调查，寻找能够证明璇玑去向的物证。,mp0401,mp0401,0,mp0401,,true,A,当前场景目标
13,拿着找到的香包继续追查商队去向。,mp0401,mp0401,0,mp0401,,true,A,当前场景目标
14,前往世界地图追上出城的商队，处理途中发生的袭击。,mp0401,mp3001,1,mp0401 --Event12--> mp3001,"Event12 右邊城門出入口 @(3582,872)",Event12:var[1] != 21 && var[1] != 16 && var[1] != 15 && var[1] == 14,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
15,救下商人后返回凉州，继续追踪北山绿洲。,mp3001,mp0401,1,mp3001 --Event16--> mp0401,"Event16 自動導航往涼州 @(2876,1031)",Event16:var[1] != 20,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
16,根据取得的北山绿洲详图前往营地区域。,mp0401,mp0501,2,mp0401 --Event12--> mp3001 | mp3001 --Event19--> mp0501,"Event12 右邊城門出入口 @(3582,872)",Event12:var[1] != 21 && var[1] == 16 | Event19:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
18,潜入北山绿洲营地，寻找失踪人员和敌方首领。,mp0501,mp0501,0,mp0501,,true,A,当前场景目标
19,深入营地并击败阿尔泰巴。,mp0501,mp0504,1,mp0501 --Event12--> mp0504,"Event12 中帳棚出入口 @(600,288)",Event12:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
20,处理营地战后的剧情，取得用于追踪磐沙堡的纸鸢。,mp0504,mp3001,2,mp0504 --Event12--> mp0501 | mp0501 --Event16--> mp3001,"Event12  @(,)",Event12:var[1] >= 20 | Event16:var[1] != 18,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
21,返回凉州会合休整，准备追踪磐沙堡。,mp3001,mp3001,0,mp3001,,true,A,当前场景目标
22,到世界地图使用纸鸢线索，找到并进入磐沙堡。,mp3001,mp0601-1,1,mp3001 --Event5--> mp0601-1,"Event5  @(,)",Event5:var[1] >= 21,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
23,调查磐沙堡内部，寻找继续潜入的密道和机关。,mp0601-1,mp0601-1,0,mp0601-1,,true,A,当前场景目标
24,利用讯号烟火继续潜入磐沙堡深处。,mp0601-1,mp0604,2,mp0601-1 --Event14--> mp0605 | mp0605 --Event22--> mp0604,"Event14  @(,)",Event14:true | Event22:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
26,进入地牢救人，并取得后续机关所需的道具。,mp0604,mp0607a,4,mp0604 --Event12--> mp0605 | mp0605 --Event20--> mp0606 | mp0606 --Event24--> mp0609a | mp0609a --Event13--> mp0607a,"Event12  @(,)",Event12:true | Event20:var[1102] != 0 | Event24:var[4501] == 2 | Event13:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
27,继续深入磐沙堡，找到被囚禁或失踪的关键人物。,mp0607a,mp0605,5,mp0607a --Event13--> mp0609a | mp0609a --Event15--> mp0601-2 | mp0601-2 --Event19--> mp0610a | mp0610a --Event12--> mp0601-1 | mp0601-1 --Event14--> mp0605,"Event13 右樓梯出入口 @(1767,750)",Event13:true | Event15:true | Event19:true | Event12:var[1] < 29 | Event14:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
28,使用锻铁钥匙开启机关，进入磐沙堡决战区域。,mp0605,mp0610a,2,mp0605 --Event19--> mp0608 | mp0608 --Event19--> mp0610a,"Event19 左邊上二樓旋梯 @(246,369)",Event19:var[1] >= 28 | Event19:var[1157] != 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
29,完成磐沙堡决战与救援，之后返回凉州。,mp0610a,mp0402,6,mp0610a --Event13--> mp0608 | mp0608 --Event18--> mp0605 | mp0605 --Event18--> mp0601-1 | mp0601-1 --Event12--> mp3001 | mp3001 --Event16--> mp0401 | mp0401 --Event15--> mp0402,"Event13 出入口 @(344,720)",Event13:true | Event18:true | Event18:var[1] >= 29 | Event12:true | Event16:var[1] != 20 | Event15:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
30,在凉州休整后返回河州查看家中情况。,mp0402,mp3001,2,mp0402 --Event15--> mp0401 | mp0401 --Event12--> mp3001,"Event15  @(,)",Event15:var[1] != 29 && var[1] > 8 && var[509] != 0 | Event12:var[1] != 21 && var[1] != 16 && var[1] != 15 && var[1] != 14 && var[1] >= 14,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
31,调查河州发生的变故，确认双亲被掳后的去向。,mp3001,mp0101,1,mp3001 --Event12--> mp0101,"Event12 救小鬼 @(2801,1710)",Event12:var[1] < 40 && var[1] >= 31,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
32,处理高老丈相关事件并取得紫金剑，继续追查双亲。,mp0101,mp0705,3,mp0101 --Event12--> mp3001 | mp3001 --Event22--> mp0701 | mp0701 --Event18--> mp0705,"Event12  @(,)",Event12:var[1] > 3 && var[1] != 4 && var[1] != 5 && var[1] >= 6 | Event22:var[1] != 67 | Event18:var[1] != 62,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
33,前往甘州寻找谭铁匠，请他修复紫金剑。,mp0705,mp0704,1,mp0705 --Event16--> mp0704,"Event16 往打鐵鋪 @(154,437)",Event16:var[1] <= 63 && var[1] != 63 && var[1] <= 41 && var[1] < 35 && var[1] != 34,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
34,按照谭铁匠提出的办法，寻找能够潜入肃州石塔的途径。,mp0704,mp0401,4,mp0704 --Event12--> mp0705 | mp0705 --Event18--> mp0701 | mp0701 --Event12--> mp3001 | mp3001 --Event16--> mp0401,"Event12  @(,)",Event12:true | Event18:var[1] != 62 | Event12:var[1] != 62 | Event16:var[1] != 20,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
35,返回凉州找简二，请他安排前往肃州的车队。,mp0401,mp0704,4,mp0401 --Event12--> mp3001 | mp3001 --Event22--> mp0701 | mp0701 --Event18--> mp0705 | mp0705 --Event16--> mp0704,"Event12 右邊城門出入口 @(3582,872)",Event12:var[1] != 21 && var[1] != 16 && var[1] != 15 && var[1] != 14 && var[1] >= 14 | Event22:var[1] != 67 | Event18:var[1] != 62 | Event16:var[1] <= 63 && var[1] != 63 && var[1] <= 41 && var[1] >= 35,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
36,借车队潜入肃州铁卫军石塔，继续向塔内深入。,mp0704,mp0906,5,mp0704 --Event18--> mp0901 | mp0901 --Event12--> mp0903 | mp0903 --Event15--> mp0904 | mp0904 --Event12--> mp0905 | mp0905 --Event13--> mp0906,"Event18  @(,)",Event18:var[1] <= 63 && var[1] != 63 && var[1] != 62 | Event12:true | Event15:true | Event12:true | Event13:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
39,在肃州石塔完成与赫兰铁罕的决战。,mp0906,mp1005a,4,mp0906 --Event12--> mp1003b | mp1003b --Event12--> mp1003a | mp1003a --Event14--> mp1004a | mp1004a --Event13--> mp1005a,"Event12 右上出入口 @(995,240)",Event12:true | Event12:true | Event14:var[1] != 68 | Event13:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
40,前往楼兰华穹殿附近，了解楼兰王与中原四派的争议。,mp1005a,mp1007b,6,mp1005a --Event18--> mp1004a | mp1004a --Event14--> mp1003a | mp1003a --Event12--> mp1003b | mp1003b --Event13--> mp1003c | mp1003c --Event14--> mp1008 | mp1008 --Event12--> mp1007b,"Event18 往上的場景 @(327,601)",Event18:true | Event14:true | Event12:var[1] != 69 && var[606] != 0 | Event13:true | Event14:var[1] != 39 | Event12:var[1] != 73 && var[1] != 70 && var[1] <= 69 && var[1] != 65 && var[1] == 40,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
